,Date,wind_speed,FIPS_NAME_x,FPA_ID,FIRE_CODE,FIRE_NAME,FIRE_YEAR,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,date(CONT_DATE),FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,FIPS_CODE,FIPS_NAME_y,STATE,tmax,tmin,Precip,average
121,2003-03-10,5.1,Imperial,W-565596,D44Z,SUNDANCE,2003.0,1115.0,9.0,Miscellaneous,2003-03-10,0.1,A,38.707581,-120.863011,17.0,El Dorado,CA,65.0,39.0,0.0,52.0
122,2003-03-10,4.3,Imperial,W-565596,D44Z,SUNDANCE,2003.0,1115.0,9.0,Miscellaneous,2003-03-10,0.1,A,38.707581,-120.863011,17.0,El Dorado,CA,65.0,39.0,0.0,52.0
123,2003-03-11,6.5,Imperial,,,,,,,,,,,,,,,,,,,
124,2003-03-11,6.0,Imperial,,,,,,,,,,,,,,,,,,,
125,2003-03-12,3.4,Imperial,,,,,,,,,,,,,,,,,,,
126,2003-03-12,4.9,Imperial,,,,,,,,,,,,,,,,,,,
127,2003-03-13,5.1,Imperial,,,,,,,,,,,,,,,,,,,
128,2003-03-13,6.5,Imperial,,,,,,,,,,,,,,,,,,,
129,2003-03-14,9.6,Imperial,,,,,,,,,,,,,,,,,,,
130,2003-03-14,8.9,Imperial,,,,,,,,,,,,,,,,,,,
131,2003-03-15,9.4,Imperial,,,,,,,,,,,,,,,,,,,
132,2003-03-15,14.1,Imperial,,,,,,,,,,,,,,,,,,,
133,2003-03-16,19.2,Imperial,,,,,,,,,,,,,,,,,,,
134,2003-03-16,19.0,Imperial,,,,,,,,,,,,,,,,,,,
135,2003-03-17,18.1,Imperial,,,,,,,,,,,,,,,,,,,
136,2003-03-17,19.0,Imperial,,,,,,,,,,,,,,,,,,,
137,2003-03-18,11.4,Imperial,,,,,,,,,,,,,,,,,,,
138,2003-03-18,12.5,Imperial,,,,,,,,,,,,,,,,,,,
139,2003-03-19,11.2,Imperial,,,,,,,,,,,,,,,,,,,
140,2003-03-19,10.1,Imperial,,,,,,,,,,,,,,,,,,,
141,2003-03-20,11.2,Imperial,,,,,,,,,,,,,,,,,,,
142,2003-03-20,10.7,Imperial,,,,,,,,,,,,,,,,,,,
143,2003-03-21,7.8,Imperial,,,,,,,,,,,,,,,,,,,
144,2003-03-21,7.4,Imperial,,,,,,,,,,,,,,,,,,,
145,2003-03-22,5.4,Imperial,,,,,,,,,,,,,,,,,,,
146,2003-03-22,4.0,Imperial,,,,,,,,,,,,,,,,,,,
147,2003-03-23,8.1,Imperial,,,,,,,,,,,,,,,,,,,
148,2003-03-23,13.0,Imperial,,,,,,,,,,,,,,,,,,,
149,2003-03-24,13.9,Imperial,,,,,,,,,,,,,,,,,,,
150,2003-03-24,14.1,Imperial,,,,,,,,,,,,,,,,,,,
151,2003-03-25,6.7,Imperial,,,,,,,,,,,,,,,,,,,
152,2003-03-25,5.6,Imperial,,,,,,,,,,,,,,,,,,,
153,2003-03-26,7.2,Imperial,,,,,,,,,,,,,,,,,,,
154,2003-03-26,10.5,Imperial,,,,,,,,,,,,,,,,,,,
155,2003-03-27,11.0,Imperial,,,,,,,,,,,,,,,,,,,
156,2003-03-27,10.5,Imperial,,,,,,,,,,,,,,,,,,,
157,2003-03-28,11.4,Imperial,,,,,,,,,,,,,,,,,,,
158,2003-03-28,14.3,Imperial,,,,,,,,,,,,,,,,,,,
159,2003-03-29,7.6,Imperial,,,,,,,,,,,,,,,,,,,
160,2003-03-29,9.4,Imperial,,,,,,,,,,,,,,,,,,,
161,2003-03-30,5.8,Imperial,,,,,,,,,,,,,,,,,,,
162,2003-03-31,5.6,Imperial,,,,,,,,,,,,,,,,,,,
163,2003-03-31,3.4,Imperial,,,,,,,,,,,,,,,,,,,
164,2003-04-01,11.9,Imperial,,,,,,,,,,,,,,,,,,,
165,2003-04-01,12.3,Imperial,,,,,,,,,,,,,,,,,,,
166,2003-04-02,24.2,Imperial,,,,,,,,,,,,,,,,,,,
167,2003-04-02,19.9,Imperial,,,,,,,,,,,,,,,,,,,
168,2003-04-03,13.9,Imperial,,,,,,,,,,,,,,,,,,,
169,2003-04-03,13.6,Imperial,,,,,,,,,,,,,,,,,,,
170,2003-04-04,14.3,Imperial,,,,,,,,,,,,,,,,,,,
171,2003-04-04,14.1,Imperial,,,,,,,,,,,,,,,,,,,
172,2003-04-05,9.4,Imperial,,,,,,,,,,,,,,,,,,,
173,2003-04-05,9.8,Imperial,,,,,,,,,,,,,,,,,,,
174,2003-04-06,4.9,Imperial,,,,,,,,,,,,,,,,,,,
175,2003-04-07,4.5,Imperial,,,,,,,,,,,,,,,,,,,
176,2003-04-07,4.3,Imperial,,,,,,,,,,,,,,,,,,,
177,2003-04-08,5.6,Imperial,,,,,,,,,,,,,,,,,,,
178,2003-04-08,5.1,Imperial,,,,,,,,,,,,,,,,,,,
179,2003-04-09,6.3,Imperial,,,,,,,,,,,,,,,,,,,
180,2003-04-09,5.1,Imperial,,,,,,,,,,,,,,,,,,,
181,2003-04-10,11.0,Imperial,,,,,,,,,,,,,,,,,,,
182,2003-04-10,9.6,Imperial,,,,,,,,,,,,,,,,,,,
183,2003-04-11,10.3,Imperial,,,,,,,,,,,,,,,,,,,
184,2003-04-11,8.1,Imperial,,,,,,,,,,,,,,,,,,,
185,2003-04-12,15.0,Imperial,,,,,,,,,,,,,,,,,,,
186,2003-04-12,10.5,Imperial,,,,,,,,,,,,,,,,,,,
187,2003-04-13,13.2,Imperial,,,,,,,,,,,,,,,,,,,
188,2003-04-14,16.6,Imperial,,,,,,,,,,,,,,,,,,,
189,2003-04-14,13.4,Imperial,,,,,,,,,,,,,,,,,,,
190,2003-04-15,12.1,Imperial,,,,,,,,,,,,,,,,,,,
191,2003-04-15,10.3,Imperial,,,,,,,,,,,,,,,,,,,
192,2003-04-16,5.4,Imperial,,,,,,,,,,,,,,,,,,,
193,2003-04-16,4.7,Imperial,,,,,,,,,,,,,,,,,,,
194,2003-04-17,22.1,Imperial,,,,,,,,,,,,,,,,,,,
195,2003-04-17,19.9,Imperial,,,,,,,,,,,,,,,,,,,
196,2003-04-18,17.4,Imperial,,,,,,,,,,,,,,,,,,,
197,2003-04-18,18.8,Imperial,,,,,,,,,,,,,,,,,,,
198,2003-04-19,5.8,Imperial,,,,,,,,,,,,,,,,,,,
199,2003-04-19,5.8,Imperial,,,,,,,,,,,,,,,,,,,
200,2003-04-20,7.4,Imperial,,,,,,,,,,,,,,,,,,,
201,2003-04-21,23.3,Imperial,,,,,,,,,,,,,,,,,,,
202,2003-04-21,22.1,Imperial,,,,,,,,,,,,,,,,,,,
203,2003-04-22,19.9,Imperial,,,,,,,,,,,,,,,,,,,
204,2003-04-22,18.1,Imperial,,,,,,,,,,,,,,,,,,,
205,2003-04-23,9.6,Imperial,,,,,,,,,,,,,,,,,,,
206,2003-04-23,7.4,Imperial,,,,,,,,,,,,,,,,,,,
207,2003-04-24,8.5,Imperial,,,,,,,,,,,,,,,,,,,
208,2003-04-24,7.4,Imperial,,,,,,,,,,,,,,,,,,,
209,2003-04-25,14.8,Imperial,,,,,,,,,,,,,,,,,,,
210,2003-04-25,14.1,Imperial,,,,,,,,,,,,,,,,,,,
211,2003-04-26,9.8,Imperial,,,,,,,,,,,,,,,,,,,
212,2003-04-26,9.2,Imperial,,,,,,,,,,,,,,,,,,,
213,2003-04-27,11.6,Imperial,,,,,,,,,,,,,,,,,,,
214,2003-04-28,13.9,Imperial,,,,,,,,,,,,,,,,,,,
215,2003-04-28,14.1,Imperial,,,,,,,,,,,,,,,,,,,
216,2003-04-29,15.2,Imperial,,,,,,,,,,,,,,,,,,,
217,2003-04-29,16.1,Imperial,,,,,,,,,,,,,,,,,,,
218,2003-04-30,8.9,Imperial,,,,,,,,,,,,,,,,,,,
219,2003-04-30,9.4,Imperial,,,,,,,,,,,,,,,,,,,
220,2003-05-01,6.3,Imperial,,,,,,,,,,,,,,,,,,,
221,2003-05-01,6.9,Imperial,,,,,,,,,,,,,,,,,,,
